    ,Название    Пиво Д,Категория,,Цена,,Количество,А Пиво    Стоимость
,     Джон Буль LAGER,Пиво,_____________________________   ,113,₽ / ,1 литр,_____________________________   113₽ / 1 литр
,     Джон Буль RUBY,Пиво,_____________________________   ,110,₽ / ,1 литр,_____________________________   110₽ / 1 литр
,     Джон Буль DARK,Пиво,_____________________________   ,130,₽ / ,1 литр,_____________________________   130₽ / 1 литр
,     Джон Буль HELLES,Пиво,_____________________________   ,118,₽ / ,1 литр,_____________________________   118₽ / 1 литр
,     Пиво да пиво вишнёвый крик,Пиво,_____________________________   ,108,₽ / ,1 литр,_____________________________   108₽ / 1 литр
,     Малиновое,Пиво,_____________________________   ,108,₽ / ,1 литр,_____________________________   108₽ / 1 литр
,     Шульгинское пшеничное,Пиво,_____________________________   ,85,₽ / ,1 литр,_____________________________   85₽ / 1 литр
,     Шульгинское веселый кабан,Пиво,_____________________________   ,85,₽ / ,1 литр,_____________________________   85₽ / 1 литр
,     Пиво да пиво темное,Пиво,_____________________________   ,94,₽ / ,1 литр,_____________________________   94₽ / 1 литр
,     Пиво да пиво живое,Пиво,_____________________________   ,87,₽ / ,1 литр,_____________________________   87₽ / 1 литр
,     Пиво да пиво венское,Пиво,_____________________________   ,79,₽ / ,1 литр,_____________________________   79₽ / 1 литр
,     Пиво да пиво фильтрованное,Пиво,_____________________________   ,87,₽ / ,1 литр,_____________________________   87₽ / 1 литр
,     Пиво да пиво безалкогольное,Безалкогольные напитки,_____________________________   ,67,₽ / ,1 литр,_____________________________   67₽ / 1 литр
,     Квас Боярский,Безалкогольные напитки,_____________________________   ,43,₽ / ,1 литр,_____________________________   43₽ / 1 литр
,"     Морс Брусника, Смородина Мята",Безалкогольные напитки,_____________________________   ,77,₽ / ,1 литр,_____________________________   77₽ / 1 литр
,     Пицца гавайская,Пицца,_____________________________   ,510,₽ / ,1,_____________________________   510₽ / 1
,     Пицца гавайская 40 см,Пицца,_____________________________   ,875,₽ / ,,_____________________________   875₽ / 
,     Пицца с креветкой на кокосовом креме,Пицца,_____________________________   ,630,₽ / ,2,_____________________________   630₽ / 2
,     Пицца с креветкой на кокосовом креме 40 см,Пицца,_____________________________   ,1180,₽ / ,,_____________________________   1180₽ / 
